site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-03343750,"WHETSTONE CREEK NEAR CHARLESTON, IL",39.4647576,-88.1053162,9.45,,,embarrass-station.xlsx
USGS-03343800,"Kickapoo Creek at Mattoon, Ill",39.47305556,-88.3641667,,,,embarrass-station.xlsx
USGS-03343805,"KICKAPOO CREEK NEAR MATTOON, IL",39.46527778,-88.33638889,9.0,,,embarrass-station.xlsx
USGS-03343810,"KICKAPOO CR AT GOLF COURSE NEAR MATTOON, IL",39.47027778,-88.3227778,9.91,,,embarrass-station.xlsx
USGS-03343815,"KICKAPOO CR AT 1200 E ROAD NEAR CHARLESTON, IL",39.46888889,-88.2480556,25.5,,,embarrass-station.xlsx
USGS-03343820,"KICKAPOO CREEK AT 1320E ROAD NR CHARLESTON, IL",39.465,-88.2302778,27.7,,,embarrass-station.xlsx
USGS-03343850,"KICKAPOO CREEK NEAR CHARLESTON, IL",39.4428132,-88.1722626,103.0,,,embarrass-station.xlsx
USGS-03343900,"EMBARRAS RIVER BELOW CHARLESTON, IL",39.43503556,-88.1655957,892.0,,,embarrass-station.xlsx
USGS-03343925,"EMBARRAS RIVER ABOVE FARMINGTON, IL",39.4225357,-88.1764293,894.0,,,embarrass-station.xlsx
USGS-03343950,"EMBARRAS RIVER NEAR FARMINGTON, IL",39.40698038,-88.16754,909.0,,,embarrass-station.xlsx
USGS-03343975,"EMBARRAS RIVER BELOW FARMINGTON, IL",39.3850362,-88.1747622,915.0,,,embarrass-station.xlsx
USGS-03344000,"EMBARRAS RIVER NEAR DIONA, IL",39.34448124,-88.1708729,919.0,,,embarrass-station.xlsx
USGS-03344200,"EMBARRAS RIVER NEAR GREENUP, IL",39.23614956,-88.1864282,1022.0,,,embarrass-station.xlsx
USGS-03344250,"EMBARRAS RIVER TRIBUTARY NEAR GREENUP, IL",39.2333717,-88.1555939,0.08,,,embarrass-station.xlsx
USGS-03344350,"MUDDY CREEK NEAR TOLEDO, IL",39.27309365,-88.2861536,58.0,,,embarrass-station.xlsx
